id	name	description
95	FUNCTION: 4a-hydroxytetrahydrobiopterin dehydratase. 4alpha-hydroxy-tetrahydropterin dehydratase. pterin-4alpha-carbinolamine dehydratase. tetrahydrobiopterin dehydratase.	FUNCTION: 4a-hydroxytetrahydrobiopterin dehydratase. 4alpha-hydroxy-tetrahydropterin dehydratase. pterin-4alpha-carbinolamine dehydratase. tetrahydrobiopterin dehydratase. In concert with EC 1.5.1.34 the enzyme recycles 4a-hydroxytetrahydrobiopterin back to tetrahydrobiopterin, a cosubstrate for several enzymes, including aromatic amino acid hydroxylases. The enzyme is bifunctional, and also acts as a dimerization cofactor of hepatocyte nuclear factor-1alpha (HNF-1).
96	FUNCTION: aspartate 1-decarboxylase. aspartate alpha-decarboxylase. L-aspartate 1-carboxy-lyase.	FUNCTION: aspartate 1-decarboxylase. aspartate alpha-decarboxylase. L-aspartate 1-carboxy-lyase. 
97	FUNCTION: aspartate kinase. aspartokinase.	FUNCTION: aspartate kinase. aspartokinase. The enzyme from Escherichia coli is a multifunctional protein, which also catalyzes the reaction of EC 1.1.1.3. This is also the case for two of the four isoenzymes in Arabidopsis thaliana. The equilibrium constant strongly favors the reaction from right to left, i.e. the non-physiological direction of reaction.
98	FUNCTION: Transferred entry: 7.1.2.2. 	FUNCTION: Transferred entry: 7.1.2.2.  
99	FUNCTION: glycogen phosphorylase. amylophosphorylase. muscle phosphorylase a and b. polyphosphorylase.	FUNCTION: glycogen phosphorylase. amylophosphorylase. muscle phosphorylase a and b. polyphosphorylase. This entry covers several enzymes from different sources that act in vivo on different forms of (1->4)-alpha-D-glucans. Some of these enzymes catalyze the first step in the degradation of large branched glycan polymers - the phosphorolytic cleavage of alpha-1,4-glucosidic bonds from the non-reducing ends of linear poly(1->4)-alpha-D-glucosyl chains within the polymers. The enzyme stops when it reaches the fourth residue away from an alpha-1,6 branching point, leaving a highly branched core known as a limit dextrin. The description (accepted name) of the enzyme should be modified for each specific instance by substituting 'glycogen' with the name of the natural substrate, e.g. maltodextrin phosphorylase, starch phosphorylase, etc.
100	FUNCTION: ferredoxin hydrogenase. bidirectional hydrogenase. H2 oxidizing hydrogenase. H2 producing hydrogenase. hydrogenase. hydrogenase (ferredoxin). hydrogenase I. hydrogenase II. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.	FUNCTION: ferredoxin hydrogenase. bidirectional hydrogenase. H2 oxidizing hydrogenase. H2 producing hydrogenase. hydrogenase. hydrogenase (ferredoxin). hydrogenase I. hydrogenase II. hydrogenlyase. hydrogen-lyase. uptake hydrogenase. Can use molecular hydrogen for the reduction of a variety of substances. Formerly EC 1.12.1.1, EC 1.12.7.1, EC 1.18.3.1, EC 1.18.99.1 and EC 1.98.1.1.
101	FUNCTION: FMN-dependent NADH-azoreductase. 	FUNCTION: FMN-dependent NADH-azoreductase.  The enzyme catalyzes the reductive cleavage of an azo bond in aromatic azo compounds to form the corresponding amines. Does not accept NADPH. Cf. EC 1.7.1.6.
102	FUNCTION: mannan endo-1,4-beta-mannosidase. beta-mannanase. endo-1,4-mannanase.	FUNCTION: mannan endo-1,4-beta-mannosidase. beta-mannanase. endo-1,4-mannanase. 
103	FUNCTION: (S)-2-haloacid dehalogenase. 2-haloacid dehalogenase. 2-haloacid halidohydrolase. 2-haloalkanoic acid dehalogenase. 2-haloalkanoid acid halidohydrolase. 2-halocarboxylic acid dehalogenase II. DL-2-haloacid dehalogenase. halocarboxylic acid halidohydrolase. L-2-haloacid dehalogenase. L-DEX.	FUNCTION: (S)-2-haloacid dehalogenase. 2-haloacid dehalogenase. 2-haloacid halidohydrolase. 2-haloalkanoic acid dehalogenase. 2-haloalkanoid acid halidohydrolase. 2-halocarboxylic acid dehalogenase II. DL-2-haloacid dehalogenase. halocarboxylic acid halidohydrolase. L-2-haloacid dehalogenase. L-DEX. Acts on acids of short chain lengths, C2 to C4, with inversion of configuration at C-2 (see also EC 3.8.1.9, EC 3.8.1.10 and EC 3.8.1.11).
104	FUNCTION: phosphoserine transaminase. 3-phosphoserine aminotransferase. 3PHP transaminase. hydroxypyruvic phosphate--glutamic transaminase. L-phosphoserine aminotransferase. phosphohydroxypyruvate transaminase. phosphohydroxypyruvic--glutamic transaminase. phosphoserine aminotransferase. PSAT.	FUNCTION: phosphoserine transaminase. 3-phosphoserine aminotransferase. 3PHP transaminase. hydroxypyruvic phosphate--glutamic transaminase. L-phosphoserine aminotransferase. phosphohydroxypyruvate transaminase. phosphohydroxypyruvic--glutamic transaminase. phosphoserine aminotransferase. PSAT. A pyridoxal 5'-phosphate protein. This enzyme catalyzes the second step in the phosphorylated pathway of serine biosynthesis and the third step in pyridoxal 5'-phosphate biosynthesis in the bacterium Escherichia coli. Pyridoxal 5'-phosphate is the cofactor for both activities and therefore seems to be involved in its own biosynthesis. Non-phosphorylated forms of serine and threonine are not substrates. The archaeal enzyme has a relaxed specificity and can act on L-cysteate and L-alanine as alternative substrates to O-phospho-L- serine.
105	FUNCTION: D-aminoacyl-tRNA deacylase. D-tyrosyl-tRNA(Tyr) aminoacylhydrolase. D-Tyr-tRNA(Tyr) deacylase.	FUNCTION: D-aminoacyl-tRNA deacylase. D-tyrosyl-tRNA(Tyr) aminoacylhydrolase. D-Tyr-tRNA(Tyr) deacylase. The enzyme, found in all domains of life, can cleave mischarged glycyl-tRNA(Ala). The enzyme from Escherichia coli can cleave D-tyrosyl-tRNA(Tyr), D-aspartyl-tRNA(Asp) and D-tryptophanyl-tRNA(Trp). Whereas the enzyme from the archaeon Pyrococcus abyssi is a zinc protein, the enzyme from Escherichia coli does not carry any zinc. Formerly EC 3.6.1.n1.
106	FUNCTION: nicotinate-nucleotide adenylyltransferase. Deamido-NAD(+) diphosphorylase. deamido-NAD(+) pyrophosphorylase.	FUNCTION: nicotinate-nucleotide adenylyltransferase. Deamido-NAD(+) diphosphorylase. deamido-NAD(+) pyrophosphorylase. 
107	FUNCTION: alanine--tRNA ligase. alanine translase. alanyl-tRNA synthetase.	FUNCTION: alanine--tRNA ligase. alanine translase. alanyl-tRNA synthetase. 
108	FUNCTION: dihydropteroate synthase. DHPS. dihydropteroate diphosphorylase. dihydropteroate pyrophosphorylase.	FUNCTION: dihydropteroate synthase. DHPS. dihydropteroate diphosphorylase. dihydropteroate pyrophosphorylase. The enzyme participates in the biosynthetic pathways for folate (in bacteria, plants and fungi) and methanopterin (in archaea). The enzyme exists in varying types of multifunctional proteins in different organisms. The enzyme from the plant Arabidopsis thaliana also harbors the activity of EC 2.7.6.3, while the enzyme from yeast Saccharomyces cerevisiae is trifunctional with the two above mentioned activities as well as EC 4.1.2.25.
109	FUNCTION: phosphoribosylglycinamide formyltransferase 1. 2-amino-N-ribosylacetamide 5'-phosphate transformylase. 5,10-methenyltetrahydrofolate:2-amino-N-ribosylacetamide ribonucleotide transformylase. 5'-phosphoribosylglycinamide transformylase. GAR formyltransferase. GART. GAR TFase. GAR transformylase. glycinamide ribonucleotide transformylase.	FUNCTION: phosphoribosylglycinamide formyltransferase 1. 2-amino-N-ribosylacetamide 5'-phosphate transformylase. 5,10-methenyltetrahydrofolate:2-amino-N-ribosylacetamide ribonucleotide transformylase. 5'-phosphoribosylglycinamide transformylase. GAR formyltransferase. GART. GAR TFase. GAR transformylase. glycinamide ribonucleotide transformylase. Two enzymes are known to catalyze the third step in de novo purine biosynthesis. This enzyme utilizes 10-formyltetrahydrofolate as the formyl donor, while the other enzyme, EC 6.3.1.21, utilizes formate. In vertebrates this activity is catalyzed by a trifunctional enzyme that also catalyzes the activities of EC 6.3.4.13 and EC 6.3.3.1.
110	FUNCTION: aminoglycoside N(3)-acetyltransferase. 3-aminoglycoside acetyltransferase. aminoglycoside 3-N-acetyltransferase.	FUNCTION: aminoglycoside N(3)-acetyltransferase. 3-aminoglycoside acetyltransferase. aminoglycoside 3-N-acetyltransferase. A wide range of antibiotics containing the 2-deoxystreptamine ring can act as acceptor, including gentamicin, kanamycin, tobramycin, neomycin and apramycin. Different from EC 2.3.1.60.
111	FUNCTION: alpha-glucosidase. acid maltase. glucoinvertase. glucosidosucrase. lysosomal alpha-glucosidase. maltase. maltase-glucoamylase.	FUNCTION: alpha-glucosidase. acid maltase. glucoinvertase. glucosidosucrase. lysosomal alpha-glucosidase. maltase. maltase-glucoamylase. Group of enzymes whose specificity is directed mainly toward the exohydrolysis of 1,4-alpha-glucosidic linkages, and that hydrolyze oligosaccharides rapidly, relative to polysaccharides, which are hydrolyzed relatively slowly, or not at all. The intestinal enzyme also hydrolyzes polysaccharides, catalyzing the reactions of EC 3.2.1.3, and, more slowly, hydrolyzes 1,6-alpha-D- glucose links.
112	FUNCTION: thymidylate synthase (FAD). FDTS. flavin dependent thymidylate synthase.	FUNCTION: thymidylate synthase (FAD). FDTS. flavin dependent thymidylate synthase. Contains FAD. All thymidylate synthases catalyze a reductive methylation involving the transfer of the methylene group of 5,10-methylenetetrahydrofolate to the C5-position of dUMP and a two electron reduction of the methylene group to a methyl group. Unlike the classical thymidylate synthase, ThyA (EC 2.1.1.45), which uses folate as both a 1-carbon donor and a source of reducing equivalents, this enzyme uses a flavin coenzyme as a source of reducing equivalents, which are derived from NADPH.
113	FUNCTION: membrane alanyl aminopeptidase. amino-oligopeptidase. aminopeptidase M. aminopeptidase N. membrane alanine aminopeptidase. membrane aminopeptidase I. microsomal aminopeptidase. particle-bound aminopeptidase. peptidase E.	FUNCTION: membrane alanyl aminopeptidase. amino-oligopeptidase. aminopeptidase M. aminopeptidase N. membrane alanine aminopeptidase. membrane aminopeptidase I. microsomal aminopeptidase. particle-bound aminopeptidase. peptidase E. Is not activated by heavy metal ions. Belongs to peptidase family M1. Formerly EC 3.4.1.2, EC 3.4.3.5 and EC 3.4.13.6.
114	FUNCTION: Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45. 	FUNCTION: Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45.  
115	FUNCTION: non-reducing end alpha-L-arabinofuranosidase. alpha-L-arabinofuranosidase. arabinofuranosidase. arabinosidase.	FUNCTION: non-reducing end alpha-L-arabinofuranosidase. alpha-L-arabinofuranosidase. arabinofuranosidase. arabinosidase. Acts on alpha-L-arabinofuranosides, alpha-L-arabinans containing (1,3)- and/or (1,5)-linkages, arabinoxylans and arabinogalactans. Some EC 3.2.1.23 and EC 3.2.1.38 enzymes also hydrolyze alpha-L- arabinosides. cf. EC 3.2.1.185. Formerly EC 3.2.1.79.
116	FUNCTION: N-acetylneuraminate lyase. N-acetylneuraminate pyruvate-lyase. N-acetylneuraminic acid aldolase.	FUNCTION: N-acetylneuraminate lyase. N-acetylneuraminate pyruvate-lyase. N-acetylneuraminic acid aldolase. This enzyme is involved in the degradation of N-acetylneuraminate. It is specific for the open form of the sugar. It also acts on N-glycoloylneuraminate and on O-acetylated sialic acids, other than 4-O-acetylated derivatives.
117	FUNCTION: methylated-DNA--[protein]-cysteine S-methyltransferase. 6-O-methylguanine-DNA methyltransferase. O-6-methylguanine-DNA-alkyltransferase.	FUNCTION: methylated-DNA--[protein]-cysteine S-methyltransferase. 6-O-methylguanine-DNA methyltransferase. O-6-methylguanine-DNA-alkyltransferase. This protein is involved in the repair of methylated DNA. Unlike EC 3.2.2.20 and EC 3.2.2.21, which remove the methylated base leaving an apurinic/apyrimidinic site, this enzyme transfers the methyl group from the methylated DNA to an internal cysteine residue, leaving an intact nucleotide. Since the methyl transfer is irreversible, the enzyme can only catalyze a single turnover.
118	FUNCTION: protein-serine/threonine phosphatase. protein phosphatase-1. protein phosphatase-2A. protein phosphatase-2B. protein phosphatase-2C. serine/threonine specific protein phosphatase.	FUNCTION: protein-serine/threonine phosphatase. protein phosphatase-1. protein phosphatase-2A. protein phosphatase-2B. protein phosphatase-2C. serine/threonine specific protein phosphatase. A group of enzymes removing the serine- or threonine-bound phosphate group from a wide range of phosphoproteins, including a number of enzymes which have been phosphorylated under the action of a kinase (cf. EC 3.1.3.48). The spleen enzyme also acts on phenolic phosphates and phosphamides (cf. EC 3.9.1.1).
119	FUNCTION: bontoxilysin. botulinum neurotoxin.	FUNCTION: bontoxilysin. botulinum neurotoxin. Belongs to peptidase family M27.
120	FUNCTION: carbonyl reductase (NADPH). aldehyde reductase I. NADPH-dependent carbonyl reductase. prostaglandin 9-ketoreductase. xenobiotic ketone reductase.	FUNCTION: carbonyl reductase (NADPH). aldehyde reductase I. NADPH-dependent carbonyl reductase. prostaglandin 9-ketoreductase. xenobiotic ketone reductase. Acts on a wide range of carbonyl compounds, including quinones, aromatic aldehydes, ketoaldehydes, daunorubicin, and prostaglandins E and F, reducing them to the corresponding alcohol. Si-specific with respect to NADPH (cf. EC 1.1.1.2).
121	FUNCTION: glutaminyl-peptide cyclotransferase. glutaminyl cyclase. glutaminyl-tRNA cyclotransferase.	FUNCTION: glutaminyl-peptide cyclotransferase. glutaminyl cyclase. glutaminyl-tRNA cyclotransferase. Involved in the formation of thyrotropin-releasing hormone and other biologically active peptides containing N-terminal pyroglutamyl residues. The enzyme from papaya also acts on glutaminyl-tRNA.
122	FUNCTION: lactoylglutathione lyase. (R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing). aldoketomutase. glyoxalase I. ketone-aldehyde mutase. methylglyoxalase.	FUNCTION: lactoylglutathione lyase. (R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing). aldoketomutase. glyoxalase I. ketone-aldehyde mutase. methylglyoxalase. Also acts on 3-phosphoglycerol-glutathione.
123	FUNCTION: glutamate--tRNA ligase. glutamic acid translase. glutamyl-tRNA synthetase.	FUNCTION: glutamate--tRNA ligase. glutamic acid translase. glutamyl-tRNA synthetase. 
124	FUNCTION: aspartate-semialdehyde dehydrogenase. ASA dehydrogenase. aspartic semialdehyde dehydrogenase. L-aspartate-beta-semialdehyde dehydrogenase.	FUNCTION: aspartate-semialdehyde dehydrogenase. ASA dehydrogenase. aspartic semialdehyde dehydrogenase. L-aspartate-beta-semialdehyde dehydrogenase. 
125	FUNCTION: glutamate decarboxylase. L-glutamate 1-carboxy-lyase.	FUNCTION: glutamate decarboxylase. L-glutamate 1-carboxy-lyase. The brain enzyme also acts on L-cysteate, 3-sulfino-L-alanine and L-aspartate.
126	FUNCTION: holo-[acyl-carrier-protein] synthase. 4'-phosphopantetheinyl transferase. ACPS. acyl carrier protein holoprotein (holo-ACP) synthetase. acyl carrier protein synthase. acyl carrier protein synthetase. alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase. holo-ACP synthase. holo-ACP synthetase. holosynthase. L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase. P-pant transferase. PPTase.	FUNCTION: holo-[acyl-carrier-protein] synthase. 4'-phosphopantetheinyl transferase. ACPS. acyl carrier protein holoprotein (holo-ACP) synthetase. acyl carrier protein synthase. acyl carrier protein synthetase. alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase. holo-ACP synthase. holo-ACP synthetase. holosynthase. L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase. P-pant transferase. PPTase. All polyketide synthases, fatty-acid synthases and non-ribosomal peptide synthases require post-translational modification of their constituent acyl-carrier-protein (ACP) domains to become catalytically active. The inactive apo-proteins are converted into their active holo-forms by transfer of the 4'-phosphopantetheinyl moiety of CoA to the sidechain hydroxy group of a conserved serine residue in each ACP domain. The enzyme from human can activate both the ACP domain of the human cytosolic multifunctional fatty acid synthase system (EC 2.3.1.85) and that associated with human mitochondria as well as peptidyl- carrier and acyl-carrier-proteins from prokaryotes. Removal of the 4-phosphopantetheinyl moiety from holo-ACP is carried out by EC 3.1.4.14.
127	FUNCTION: tRNA (guanine(37)-N(1))-methyltransferase. transfer RNA (m(1)G(37)) methyltransferase. tRNA (m(1)G(37)) methyltransferase. tRNA-(N(1)G37) methyltransferase.	FUNCTION: tRNA (guanine(37)-N(1))-methyltransferase. transfer RNA (m(1)G(37)) methyltransferase. tRNA (m(1)G(37)) methyltransferase. tRNA-(N(1)G37) methyltransferase. This enzyme is important for the maintenance of the correct reading frame during translation. Unlike TrmD from Escherichia coli, which recognizes the G(36)pG(37) motif preferentially, the human enzyme (encoded by TRMT5) also methylates inosine at position 37. Formerly EC 2.1.1.31.
128	FUNCTION: diguanylate cyclase. DGC.	FUNCTION: diguanylate cyclase. DGC. Can be activated by BeF3, a phosphoryl mimic, which results in dimerization. Dimerization is required but is not sufficient for diguanylate- cyclase activity. Cyclic di-3',5'-guanylate is an intracellular signaling molecule that controls motility and adhesion in bacterial cells; it was first identified as having a positive allosteric effect on EC 2.4.1.12.
129	FUNCTION: protein adenylyltransferase. AMPylase.	FUNCTION: protein adenylyltransferase. AMPylase. The enzyme, commonly referred to as AMPylase, transfers an adenylyl (adenosine 5'-phosphate) group from ATP to L-serine, L-threonine, and L-tyrosine residues in its target protein substrates. AMPylation is found in both prokaryotes and eukaryotes. In bacteria AMPylases are abundant enzymes that either regulate the function of endogenous bacterial proteins or are translocated into host cells to hijack host cell signaling processes. Metazoans AMPylases are either enzymes containing a conserved Fic domain that primarily modify the ER-resident chaperone BiP, or mitochondrial selenocysteine-containing proteins (SelO) involved in redox signaling.
130	FUNCTION: dTDP-4-dehydrorhamnose 3,5-epimerase. dTDP-4-keto-6-deoxyglucose 3,5-epimerase. dTDP-L-rhamnose synthetase. thymidine diphospho-4-ketorhamnose 3,5-epimerase.	FUNCTION: dTDP-4-dehydrorhamnose 3,5-epimerase. dTDP-4-keto-6-deoxyglucose 3,5-epimerase. dTDP-L-rhamnose synthetase. thymidine diphospho-4-ketorhamnose 3,5-epimerase. Occurs in a complex with EC 1.1.1.133.
131	FUNCTION: leucyl aminopeptidase. cytosol aminopeptidase. leucine aminopeptidase. peptidase S.	FUNCTION: leucyl aminopeptidase. cytosol aminopeptidase. leucine aminopeptidase. peptidase S. Is activated by heavy metal ions. Belongs to peptidase family M17. Formerly EC 3.4.1.1.
132	FUNCTION: anthranilate synthase. 	FUNCTION: anthranilate synthase.  The enzyme, found in plants, fungi and bacteria is composed of two parts, a glutaminase subunit and a lyase subunit. The glutaminase produces ammonia that is channeled to the lyase subunit. In the absence of the glutaminase, the lyase can convert ammonia and chorismate into anthranilate. In some organisms, this enzyme is part of a multifunctional protein, together with one or more other components of the system for the biosynthesis of tryptophan (EC 2.4.2.18, EC 4.1.1.48, EC 4.2.1.20, and EC 5.3.1.24).
133	FUNCTION: (2E,6E)-farnesyl diphosphate synthase. farnesyl-diphosphate synthase. farnesyl pyrophosphate synthetase. FPP synthetase. geranyltranstransferase.	FUNCTION: (2E,6E)-farnesyl diphosphate synthase. farnesyl-diphosphate synthase. farnesyl pyrophosphate synthetase. FPP synthetase. geranyltranstransferase. Some forms of this enzyme will also use dimethylallyl diphosphate as a substrate. The enzyme will not accept larger prenyl diphosphates as efficient donors.
134	FUNCTION: 1-deoxy-D-xylulose-5-phosphate reductoisomerase. 1-deoxyxylulose-5-phosphate reductoisomerase. DXP-reductoisomerase.	FUNCTION: 1-deoxy-D-xylulose-5-phosphate reductoisomerase. 1-deoxyxylulose-5-phosphate reductoisomerase. DXP-reductoisomerase. The enzyme from several eubacteria, including Escherichia coli, forms part of an alternative nonmevalonate pathway for terpenoid biosynthesis. The mechanism has been shown to be a retroaldol/aldol reaction.
135	FUNCTION: haloalkane dehalogenase. 1-chlorohexane halidohydrolase.	FUNCTION: haloalkane dehalogenase. 1-chlorohexane halidohydrolase. Acts on a wide range of 1-haloalkanes, haloalcohols, haloalkenes and some haloaromatic compounds.
136	FUNCTION: exo-alpha-sialidase. alpha-neuraminidase. N-acylneuraminate glycohydrolase. neuraminidase. sialidase.	FUNCTION: exo-alpha-sialidase. alpha-neuraminidase. N-acylneuraminate glycohydrolase. neuraminidase. sialidase. The enzyme does not act on 4-O-acetylated sialic acids. An endo-alpha-sialidase activity is listed as EC 3.2.1.129. See also EC 4.2.2.15.
137	FUNCTION: coagulation factor VIIa. 	FUNCTION: coagulation factor VIIa.  Formed from the precursor factor VII. The cattle enzyme is more readily inhibited by diisopropyl fluorophosphate than the human. Belongs to peptidase family S1.
138	FUNCTION: beta-glucosidase. amygdalase. beta-D-glucoside glucohydrolase. cellobiase. gentobiase.	FUNCTION: beta-glucosidase. amygdalase. beta-D-glucoside glucohydrolase. cellobiase. gentobiase. Wide specificity for beta-D-glucosides. Some examples also hydrolyze one or more of the following: beta-D- galactosides, alpha-L-arabinosides, beta-D-xylosides and beta-D- fucosides.
139	FUNCTION: 3',5'-cyclic-AMP phosphodiesterase. cAMP-specific PDE. cAMP-specific phosphodiesterase.	FUNCTION: 3',5'-cyclic-AMP phosphodiesterase. cAMP-specific PDE. cAMP-specific phosphodiesterase. Specific for 3',5'-cAMP and does not hydrolyze other nucleoside 3',5'-cyclic phosphates such as cGMP (cf. EC 3.1.4.17 and EC 3.1.4.35). It is involved in modulation of the levels of cAMP, which is a mediator in the processes of cell transformation and proliferation. Formerly EC 3.1.4.n1.
140	FUNCTION: 2-dehydropantoate 2-reductase. ketopantoate reductase. ketopantoic acid reductase. KPA reductase.	FUNCTION: 2-dehydropantoate 2-reductase. ketopantoate reductase. ketopantoic acid reductase. KPA reductase. 
141	FUNCTION: inorganic diphosphatase. diphosphate phosphohydrolase. inorganic pyrophosphatase. pyrophosphate phosphohydrolase.	FUNCTION: inorganic diphosphatase. diphosphate phosphohydrolase. inorganic pyrophosphatase. pyrophosphate phosphohydrolase. Specificity varies with the source and with the activating metal ion. The enzyme from some sources may be identical with EC 3.1.3.1 or EC 3.1.3.9. Cf. EC 7.1.3.1.
142	FUNCTION: adenosylmethionine decarboxylase. S-adenosyl-L-methionine carboxy-lyase. S-adenosyl-L-methionine decarboxylase.	FUNCTION: adenosylmethionine decarboxylase. S-adenosyl-L-methionine carboxy-lyase. S-adenosyl-L-methionine decarboxylase. 
143	FUNCTION: enoyl-[acyl-carrier-protein] reductase (NADH). enoyl-ACP reductase. NADH-enoyl acyl carrier protein reductase. NADH-specific enoyl-ACP reductase.	FUNCTION: enoyl-[acyl-carrier-protein] reductase (NADH). enoyl-ACP reductase. NADH-enoyl acyl carrier protein reductase. NADH-specific enoyl-ACP reductase. The enzyme catalyzes an essential step in fatty acid biosynthesis, the reduction of the 2,3-double bond in enoyl-acyl-[acyl-carrier- protein] derivatives of the elongating fatty acid moiety. The enzyme from the bacterium Escherichia coli accepts substrates with carbon chain length from 4 to 18. The FAS-I enzyme from the bacterium Mycobacterium tuberculosis prefers substrates with carbon chain length from 12 to 24 carbons.
144	FUNCTION: tryptophan--tRNA ligase. L-tryptophan-tRNA(Trp) ligase (AMP-forming). TrpRS. tryptophan translase. tryptophanyl ribonucleic synthetase. tryptophanyl-transfer ribonucleate synthetase. tryptophanyl-transfer ribonucleic acid synthetase. tryptophanyl-transfer ribonucleic synthetase. tryptophanyl-transfer RNA synthetase. tryptophanyl-tRNA synthase. tryptophanyl-tRNA synthetase.	FUNCTION: tryptophan--tRNA ligase. L-tryptophan-tRNA(Trp) ligase (AMP-forming). TrpRS. tryptophan translase. tryptophanyl ribonucleic synthetase. tryptophanyl-transfer ribonucleate synthetase. tryptophanyl-transfer ribonucleic acid synthetase. tryptophanyl-transfer ribonucleic synthetase. tryptophanyl-transfer RNA synthetase. tryptophanyl-tRNA synthase. tryptophanyl-tRNA synthetase. 
145	FUNCTION: arginase. arginine amidinase. canavanase.	FUNCTION: arginase. arginine amidinase. canavanase. Also hydrolyzes alpha-N-substituted L-arginines and canavanine.
146	FUNCTION: beta-agarase. agarase. endo-beta-agarase.	FUNCTION: beta-agarase. agarase. endo-beta-agarase. Also acts on porphyran, but more slowly. Cleaves the beta-(1->4) linkages of agarose in a random manner with retention of the anomeric-bond configuration, producing beta-anomers that give rise progressively to alpha-anomers when mutarotation takes place. The end products of hydrolysis are neoagarotetraose and neoagarohexaose in the case of AgaA from the marine bacterium Zobellia galactanivorans, and neoagarotetraose and neoagarobiose in the case of AgaB.
147	FUNCTION: ribulose-bisphosphate carboxylase. carboxydismutase. diphosphoribulose carboxylase. D-ribulose-1,5-bisphosphate carboxylase. D-ribulose 1,5-diphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase/oxygenase. ribulose 1,5-diphosphate carboxylase. ribulose 1,5-diphosphate carboxylase/oxygenase. ribulose bisphosphate carboxylase/oxygenase. ribulose diphosphate carboxylase. ribulose diphosphate carboxylase/oxygenase. RuBisCO. RuBP carboxylase.	FUNCTION: ribulose-bisphosphate carboxylase. carboxydismutase. diphosphoribulose carboxylase. D-ribulose-1,5-bisphosphate carboxylase. D-ribulose 1,5-diphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase. ribulose 1,5-bisphosphate carboxylase/oxygenase. ribulose 1,5-diphosphate carboxylase. ribulose 1,5-diphosphate carboxylase/oxygenase. ribulose bisphosphate carboxylase/oxygenase. ribulose diphosphate carboxylase. ribulose diphosphate carboxylase/oxygenase. RuBisCO. RuBP carboxylase. Will utilize O2 instead of CO2, forming 3-phospho-D-glycerate and 2-phosphoglycolate.
148	FUNCTION: P-type Ca(2+) transporter. Ca(2+)-transporting ATPase. calcium pump. calcium-translocating P-type ATPase.	FUNCTION: P-type Ca(2+) transporter. Ca(2+)-transporting ATPase. calcium pump. calcium-translocating P-type ATPase. A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. This enzyme family comprises three types of Ca(2+)-transporting enzymes that are found in the plasma membrane, the sarcoplasmic reticulum, in yeast, and in some bacteria. The enzymes from plasma membrane and from yeast have been shown to transport one ion per ATP hydrolyzed whereas those from the sarcoplasmic reticulum transport two ions per ATP hydrolyzed. In muscle cells Ca(2+) is transported from the cytosol into the sarcoplasmic reticulum. Formerly EC 3.6.3.8.
149	FUNCTION: vesicle-fusing ATPase. 	FUNCTION: vesicle-fusing ATPase.  A large family of ATP-hydrolyzing enzymes involved in the heterotypic fusion of membrane vesicles with target membranes and the homotypic fusion of various membrane compartments. They belong to the AAA-type (ATPase associated with a variety of cell activities) ATPase superfamily. They include peroxin, which apparently is involved in Zellweger's syndrome.
150	FUNCTION: 3-deoxy-manno-octulosonate-8-phosphatase. 	FUNCTION: 3-deoxy-manno-octulosonate-8-phosphatase.  
151	FUNCTION: Transferred entry: 5.6.1.8. 	FUNCTION: Transferred entry: 5.6.1.8.  
152	FUNCTION: quinol--cytochrome-c reductase. complex III (mitochondrial electron transport). cytochrome bc1 complex. ubiquinol--cytochrome-c reductase. ubiquinone--cytochrome-c oxidoreductase.	FUNCTION: quinol--cytochrome-c reductase. complex III (mitochondrial electron transport). cytochrome bc1 complex. ubiquinol--cytochrome-c reductase. ubiquinone--cytochrome-c oxidoreductase. The enzyme, often referred to as the cytochrome bc1 complex or complex III, is the third complex in the electron transport chain. It is present in the mitochondria of all aerobic eukaryotes and in the inner membranes of most bacteria. The mammalian enzyme contains cytochromes b-562, b-566 and c1, and a 2-iron ferredoxin. Depending on the organism and physiological conditions, the enzyme extrudes either two or four protons from the cytoplasmic to the non- cytoplasmic compartment (cf. EC 1.6.99.3). Formerly EC 1.10.2.2.
153	FUNCTION: small monomeric GTPase. 	FUNCTION: small monomeric GTPase.  A family of about 50 enzymes with a molecular mass of 21 kDa that are distantly related to the alpha-subunit of EC 3.6.1.46. Involved in cell-growth regulation (Ras subfamily), membrane vesicle traffic and uncoating (Rab and ARF subfamilies), nuclear protein import (Ran subfamily) and organization of the cytoskeleton (Rho and Rac subfamilies). Formerly EC 3.6.1.47.
154	FUNCTION: adenosine deaminase. adenosine aminohydrolase.	FUNCTION: adenosine deaminase. adenosine aminohydrolase. 
