id	EC_number	hier1	hier2	hier3	name	comment	alter_name
63	2.7.1.33	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	pantothenate kinase.		ATP:pantothenate 4'-phosphotransferase. D-pantothenate kinase. pantothenate kinase (phosphorylating). pantothenic acid kinase.
64	2.7.4.8	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a phosphate group as acceptor.	guanylate kinase.	dGMP can also act as acceptor. dATP can act as donor.	deoxyguanylate kinase. GMP kinase. guanosine monophosphate kinase.
65	4.1.1.23	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	orotidine-5'-phosphate decarboxylase.	The enzyme from higher eukaryotes is identical with EC 2.4.2.10.	OMPdcase. OMP decarboxylase. orotidine-5'-phosphate carboxy-lyase. orotidylic decarboxylase. UMP synthase. uridine 5'-monophosphate synthase.
66	1.3.1.98	Oxidoreductases.	Acting on the CH-CH group of donors.	With NAD(+) or NADP(+) as acceptor.	UDP-N-acetylmuramate dehydrogenase.	NADH can to a lesser extent replace NADPH. Formerly EC 1.1.1.158.	UDP-GlcNAc-enoylpyruvate reductase. UDP-N-acetylenolpyruvoylglucosamine reductase. UDP-N-acetylglucosamine-enoylpyruvate reductase. uridine diphosphoacetylpyruvoylglucosamine reductase. uridine diphospho-N-acetylglucosamine-enolpyruvate reductase.
67	2.4.2.10	Transferases.	Glycosyltransferases.	Pentosyltransferases.	orotate phosphoribosyltransferase.	The enzyme from higher eukaryotes also catalyzes the reaction listed as EC 4.1.1.23.	OPRT. orotidine-5'-phosphate diphosphorylase. orotidine-5'-phosphate pyrophosphorylase. orotidylic acid phosphorylase.
68	1.1.1.1	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	alcohol dehydrogenase.	Acts on primary or secondary alcohols or hemi-acetals with very broad specificity; however the enzyme oxidizes methanol much more poorly than ethanol. The animal, but not the yeast, enzyme acts also on cyclic secondary alcohols.	aldehyde reductase.
69	2.3.1.57	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	diamine N-acetyltransferase.	Acts on 1,3-diaminopropane, 1,5-diaminopentane, putrescine, spermidine (forming N(1)- and N(8)-acetylspermidine), spermine, N(1)- acetylspermidine and N(8)-acetylspermidine.	acetyl-coenzyme A-1,4-diaminobutane N-acetyltransferase. diamine acetyltransferase. putrescine (diamine)-acetylating enzyme. putrescine acetylase. putrescine acetyltransferase. putrescine N-acetyltransferase. spermidine acetyltransferase. spermidine N(1)-acetyltransferase.
70	2.5.1.47	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	cysteine synthase.	Some alkyl thiols, cyanide, pyrazole and some other heterocyclic compounds can act as acceptors. Not identical with EC 2.5.1.51, EC 2.5.1.52 and EC 2.5.1.53. Formerly EC 4.2.99.8.	acetylserine sulfhydrylase. cysteine synthetase. O(3)-acetyl-L-serine acetate-lyase (adding hydrogen-sulfide). O-acetyl-L-serine sulfhydrylase. O-acetyl-L-serine sulfohydrolase. O-acetylserine (thiol)-lyase. O-acetylserine (thiol)-lyase A. O-acetylserine sulfhydrylase. OAS sulfhydrylase.
71	2.4.2.19	Transferases.	Glycosyltransferases.	Pentosyltransferases.	nicotinate-nucleotide diphosphorylase (carboxylating).	The reaction is catalyzed in the opposite direction. Since quinolinate is synthesized from L-tryptophan in eukaryotes, but from L-aspartate in some prokaryotes, this is the first NAD+ biosynthesis enzyme shared by both eukaryotes and prokaryotes.	nicotinate-nucleotide pyrophosphorylase (carboxylating). quinolinate phosphoribosyltransferase (decarboxylating).
72	4.6.1.19	Lyases.	Phosphorus-oxygen lyases.	Phosphorus-oxygen lyases.	ribonuclease T2.	A widely distributed family of related enzymes found in protozoans, plants, bacteria, animals and viruses that cleave ssRNA 3'-phosphate group with little base specificity. The enzyme catalyzes a two-stage endonucleolytic cleavage. The first reaction produces 5'-hydroxy-phosphooligonucletides and 3'-phosphooligonucleotides ending with a 2',3'-cyclic phosphodiester, which are released from the enzyme. The enzyme then hydrolyzes the cyclic products in a second reaction that takes place only when all the susceptible 3',5'-phosphodiester bonds have been cyclised. The second reaction is a reversal of the first reaction using the hydroxyl group of water instead of the 5'-hydroxyl group of ribose. The overall process is that of a phosphorus-oxygen lyase followed by hydrolysis to form the 3'-nucleotides. Formerly EC 2.7.7.17, EC 3.1.4.23 and EC 3.1.27.1.	ribonuclease II.
73	2.7.11.30	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	receptor protein serine/threonine kinase.	The transforming growth factor beta (TGF-beta) family of cytokines regulates cell proliferation, differentiation, recognition and death. Signaling occurs by the binding of ligand to the type II receptor, which is the constitutively active kinase. Bound TGF-beta is then recognized by receptor I, which is phosphorylated and can propagate the signal to downstream substrates. Formerly EC 2.7.1.37.	activin receptor kinase. receptor serine/threonine protein kinase. receptor type II serine/threonine protein kinase. receptor type I serine/threonine protein kinase. TGF-beta kinase.
74	2.7.1.15	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with an alcohol group as acceptor.	ribokinase.	2-Deoxy-D-ribose can also act as acceptor.	
75	2.3.3.8	Transferases.	Acyltransferases.	Acyl groups converted into alkyl groups on transfer.	ATP citrate synthase.	The enzyme can be dissociated into components, two of which are identical with EC 4.1.3.34 and EC 6.2.1.18. Formerly EC 4.1.3.8.	acetyl-CoA:oxaloacetate acetyltransferase (isomerizing; ADP- phosphorylating). adenosine triphosphate citrate lyase. ATP:citrate oxaloacetate-lyase [(pro-S)-CH2COO(-)->acetyl-CoA] (ATP- dephosphorylating). ATP citrate (pro-S)-lyase. ATP-citrate (pro-S-)-lyase. ATP-citric lyase. citrate-ATP lyase. citrate cleavage enzyme. citric cleavage enzyme.
76	2.7.11.13	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	protein kinase C.	A family of serine- and threonine-specific protein kinases that depend on lipids for activity. They can be activated by calcium but have a requirement for the second messenger diacylglycerol. Members of this group of enzymes phosphorylate a wide variety of protein targets and are known to be involved in diverse cell- signaling pathways. Members of the protein kinase C family also serve as major receptors for phorbol esters, a class of tumor promoters. Formerly EC 2.7.1.37.	calcium/phospholipid dependent protein kinase. calcium-dependent protein kinase C. calcium-independent protein kinase C. cPKC. nPKC. PKC.
77	3.4.21.104	Hydrolases.	Acting on peptide bonds (peptidases).	Serine endopeptidases.	mannan-binding lectin-associated serine protease-2.	Mannan-binding lectin (MBL) recognizes patterns of neutral carbohydrates, such as mannose and N-acetylglucosamine, on a wide range of microbial surfaces and is able to initiate activation of the lectin pathway of complement. Displays C1s-like esterolytic activity (cf. EC 3.4.21.42). It also cleaves C4 and C2 with efficiencies that are relatively higher than those of EC 3.4.21.42. Belongs to peptidase family S1A.	mannan-binding lectin-associated serine peptidase 2. mannose-binding lectin-associated serine protease-2. MASP2. MASP-2. MBP-associated serine protease-2.
78	2.7.7.9	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	UTP--glucose-1-phosphate uridylyltransferase.		glucose-1-phosphate uridylyltransferase. UDP-glucose diphosphorylase. UDP-glucose pyrophosphorylase.
79	5.6.2.1	Isomerases.	Isomerases altering macromolecular conformation.	Enzymes altering nucleic acid conformation.	DNA topoisomerase.	These enzymes bring about the conversion of one topological isomer of DNA into another, e.g., the relaxation of superhelical turns in DNA, the interconversion of simple and knotted rings of single-stranded DNA, and the intertwisting of single-stranded rings of complementary sequences, cf. EC 5.6.2.2. Formerly EC 5.99.1.2.	DNA topoisomerase I. nicking-closing enzyme. omega-protein. relaxing enzyme. swivelase. type I DNA topoisomerase. untwisting enzyme.
80	4.1.1.48	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	indole-3-glycerol-phosphate synthase.	In some organisms, this enzyme is part of a multifunctional protein together with one or more components of the system for biosynthesis of tryptophan (EC 2.4.2.18, EC 4.1.3.27, EC 4.2.1.20 and EC 5.3.1.24).	indoleglycerol phosphate synthetase.
81	2.4.2.17	Transferases.	Glycosyltransferases.	Pentosyltransferases.	ATP phosphoribosyltransferase.	Involved in histidine biosynthesis.	phosphoribosyl-ATP diphosphorylase. phosphoribosyl-ATP pyrophosphorylase.
82	1.3.5.2	Oxidoreductases.	Acting on the CH-CH group of donors.	With a quinone or related compound as acceptor.	dihydroorotate dehydrogenase (quinone).	This Class 2 dihydroorotate dehydrogenase enzyme contains FMN. The enzyme is found in eukaryotes in the mitochondrial membrane, in cyanobacteria, and in some Gram-negative and Gram-positive bacteria associated with the cytoplasmic membrane. The reaction is the only redox reaction in the de-novo biosynthesis of pyrimidine nucleotides. The best quinone electron acceptors for the enzyme from bovine liver are ubiquinone-6 and ubiquinone-7, although simple quinones, such as benzoquinone, can also act as acceptor at lower rates. Methyl-, ethyl-, tert-butyl and benzyl-(S)-dihydroorotates are also substrates, but methyl esters of (S)-1-methyl and (S)-3-methyl and (S)-1,3-dimethyldihydroorotates are not. Class 1 dihydroorotate dehydrogenases use either fumarate (EC 1.3.98.1), NAD(+) (EC 1.3.1.14) or NADP(+) (EC 1.3.1.15) as electron acceptor. Formerly EC 1.3.99.11.	DHOD. DHOdehase. DHODH.
83	2.7.4.6	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a phosphate group as acceptor.	nucleoside-diphosphate kinase.	Many nucleoside diphosphates can act as acceptors. Many ribo- and deoxyribonucleoside triphosphates can act as donors.	NDK. nucleoside 5'-diphosphate phosphotransferase. nucleoside diphosphokinase.
84	3.1.3.48	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	protein-tyrosine-phosphatase.	Dephosphorylates O-phosphotyrosine groups in phosphoproteins, such as the products of EC 2.7.10.2.	phosphotyrosine phosphatase. PTPase.
85	2.3.1.48	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	histone acetyltransferase.	A group of enzymes acetylating histones. Several of the enzymes can also acetylate lysines in other proteins.	lysine acetyltransferase. protein lysine acetyltransferase.
86	1.1.1.2	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	alcohol dehydrogenase (NADP(+)).	Some members of this group oxidize only primary alcohols; others act also on secondary alcohols. May be identical with EC 1.1.1.19, EC 1.1.1.33 and EC 1.1.1.55. Re-specific with respect to NADPH.	aldehyde reductase (NADPH).
87	2.7.11.22	Transferases.	Transferring phosphorus-containing groups.	Protein-serine/threonine kinases.	cyclin-dependent kinase.	Activation of cyclin-dependent kinases requires association of the enzyme with a regulatory subunit referred to as a cyclin. It is the sequential activation and inactivation of cyclin-dependent kinases, through the periodic synthesis and destruction of cyclins, that provides the primary means of cell-cycle regulation. Formerly EC 2.7.1.37.	cdc2 kinase. cdk-activating kinase. Cdk-activating protein kinase.
88	4.2.1.22	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	cystathionine beta-synthase.	A multifunctional enzyme: catalyzes beta-replacement reaction between L-serine, L-cysteine, cysteine thioethers or some other beta- substituted alpha-L-amino acids and a variety of mercaptans. Formerly EC 4.2.1.21.	beta-thionase. methylcysteine synthase. serine sulfhydrase.
89	5.3.4.1	Isomerases.	Intramolecular oxidoreductases.	Transposing S-S bonds.	protein disulfide-isomerase.	Needs reducing agents or partly reduced enzyme; the reaction depends on sulfhydryl-disulfide interchange.	S-S rearrangase.
90	3.5.1.2	Hydrolases.	Acting on carbon-nitrogen bonds, other than peptide bonds.	In linear amides.	glutaminase.		L-glutamine amidohydrolase.
91	5.6.2.2	Isomerases.	Isomerases altering macromolecular conformation.	Enzymes altering nucleic acid conformation.	DNA topoisomerase (ATP-hydrolyzing).	The enzyme can introduce negative superhelical turns into double- stranded circular DNA. One unit has nicking-closing activity, and another catalyzes super- twisting and hydrolysis of ATP (cf. EC 5.6.2.2). Formerly EC 5.99.1.3.	DNA gyrase. DNA topoisomerase II. type II DNA topoisomerase.
92	6.1.1.1	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	tyrosine--tRNA ligase.		L-tyrosine-tRNA(Tyr) ligase (AMP-forming). tyrosine-transfer ribonucleate synthetase. tyrosine-transfer RNA ligase. tyrosine translase. tyrosine tRNA synthetase. tyrosyl-transfer ribonucleate synthetase. tyrosyl-transfer ribonucleic acid synthetase. tyrosyl-transfer RNA synthetase. tyrosyl-tRNA ligase. tyrosyl-tRNA synthetase.
93	7.1.1.1	Translocases.	Catalysing the translocation of hydrons.	Hydron translocation or charge separation linked to oxidoreductase reactions.	proton-translocating NAD(P)(+) transhydrogenase.	The enzyme is a membrane bound proton-translocating pyridine nucleotide transhydrogenase that couples the reversible reduction of NADP by NADH to an inward proton translocation across the membrane. In the bacterium Escherichia coli the enzyme provides a major source of cytosolic NADPH. Detoxification of reactive oxygen species in mitochondria by glutathione peroxidases depends on NADPH produced by this enzyme. Formerly EC 1.6.1.5.	
94	3.1.3.7	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	3'(2'),5'-bisphosphate nucleotidase.	Also acts on 3'-phosphoadenylylsulfate, and on the corresponding 2'-phosphates.	3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase. 3'-phosphoadenylylsulfate 3'-phosphatase. DPNPase. phosphoadenylate 3'-nucleotidase.
95	4.2.1.96	Lyases.	Carbon-oxygen lyases.	Hydro-lyases.	4a-hydroxytetrahydrobiopterin dehydratase.	In concert with EC 1.5.1.34 the enzyme recycles 4a-hydroxytetrahydrobiopterin back to tetrahydrobiopterin, a cosubstrate for several enzymes, including aromatic amino acid hydroxylases. The enzyme is bifunctional, and also acts as a dimerization cofactor of hepatocyte nuclear factor-1alpha (HNF-1).	4alpha-hydroxy-tetrahydropterin dehydratase. pterin-4alpha-carbinolamine dehydratase. tetrahydrobiopterin dehydratase.
96	4.1.1.11	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	aspartate 1-decarboxylase.		aspartate alpha-decarboxylase. L-aspartate 1-carboxy-lyase.
97	2.7.2.4	Transferases.	Transferring phosphorus-containing groups.	Phosphotransferases with a carboxy group as acceptor.	aspartate kinase.	The enzyme from Escherichia coli is a multifunctional protein, which also catalyzes the reaction of EC 1.1.1.3. This is also the case for two of the four isoenzymes in Arabidopsis thaliana. The equilibrium constant strongly favors the reaction from right to left, i.e. the non-physiological direction of reaction.	aspartokinase.
98	3.6.1.34	Hydrolases.	Acting on acid anhydrides.	In phosphorus-containing anhydrides.	Transferred entry: 7.1.2.2.		
99	2.4.1.1	Transferases.	Glycosyltransferases.	Hexosyltransferases.	glycogen phosphorylase.	This entry covers several enzymes from different sources that act in vivo on different forms of (1->4)-alpha-D-glucans. Some of these enzymes catalyze the first step in the degradation of large branched glycan polymers - the phosphorolytic cleavage of alpha-1,4-glucosidic bonds from the non-reducing ends of linear poly(1->4)-alpha-D-glucosyl chains within the polymers. The enzyme stops when it reaches the fourth residue away from an alpha-1,6 branching point, leaving a highly branched core known as a limit dextrin. The description (accepted name) of the enzyme should be modified for each specific instance by substituting 'glycogen' with the name of the natural substrate, e.g. maltodextrin phosphorylase, starch phosphorylase, etc.	amylophosphorylase. muscle phosphorylase a and b. polyphosphorylase.
100	1.12.7.2	Oxidoreductases.	Acting on hydrogen as donors.	With an iron-sulfur protein as acceptor.	ferredoxin hydrogenase.	Can use molecular hydrogen for the reduction of a variety of substances. Formerly EC 1.12.1.1, EC 1.12.7.1, EC 1.18.3.1, EC 1.18.99.1 and EC 1.98.1.1.	bidirectional hydrogenase. H2 oxidizing hydrogenase. H2 producing hydrogenase. hydrogenase. hydrogenase (ferredoxin). hydrogenase I. hydrogenase II. hydrogenlyase. hydrogen-lyase. uptake hydrogenase.
101	1.7.1.17	Oxidoreductases.	Acting on other nitrogenous compounds as donors.	With NAD(+) or NADP(+) as acceptor.	FMN-dependent NADH-azoreductase.	The enzyme catalyzes the reductive cleavage of an azo bond in aromatic azo compounds to form the corresponding amines. Does not accept NADPH. Cf. EC 1.7.1.6.	
102	3.2.1.78	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	mannan endo-1,4-beta-mannosidase.		beta-mannanase. endo-1,4-mannanase.
103	3.8.1.2	Hydrolases.	Acting on halide bonds.	In C-halide compounds.	(S)-2-haloacid dehalogenase.	Acts on acids of short chain lengths, C2 to C4, with inversion of configuration at C-2 (see also EC 3.8.1.9, EC 3.8.1.10 and EC 3.8.1.11).	2-haloacid dehalogenase. 2-haloacid halidohydrolase. 2-haloalkanoic acid dehalogenase. 2-haloalkanoid acid halidohydrolase. 2-halocarboxylic acid dehalogenase II. DL-2-haloacid dehalogenase. halocarboxylic acid halidohydrolase. L-2-haloacid dehalogenase. L-DEX.
104	2.6.1.52	Transferases.	Transferring nitrogenous groups.	Transaminases.	phosphoserine transaminase.	A pyridoxal 5'-phosphate protein. This enzyme catalyzes the second step in the phosphorylated pathway of serine biosynthesis and the third step in pyridoxal 5'-phosphate biosynthesis in the bacterium Escherichia coli. Pyridoxal 5'-phosphate is the cofactor for both activities and therefore seems to be involved in its own biosynthesis. Non-phosphorylated forms of serine and threonine are not substrates. The archaeal enzyme has a relaxed specificity and can act on L-cysteate and L-alanine as alternative substrates to O-phospho-L- serine.	3-phosphoserine aminotransferase. 3PHP transaminase. hydroxypyruvic phosphate--glutamic transaminase. L-phosphoserine aminotransferase. phosphohydroxypyruvate transaminase. phosphohydroxypyruvic--glutamic transaminase. phosphoserine aminotransferase. PSAT.
105	3.1.1.96	Hydrolases.	Acting on ester bonds.	Carboxylic ester hydrolases.	D-aminoacyl-tRNA deacylase.	The enzyme, found in all domains of life, can cleave mischarged glycyl-tRNA(Ala). The enzyme from Escherichia coli can cleave D-tyrosyl-tRNA(Tyr), D-aspartyl-tRNA(Asp) and D-tryptophanyl-tRNA(Trp). Whereas the enzyme from the archaeon Pyrococcus abyssi is a zinc protein, the enzyme from Escherichia coli does not carry any zinc. Formerly EC 3.6.1.n1.	D-tyrosyl-tRNA(Tyr) aminoacylhydrolase. D-Tyr-tRNA(Tyr) deacylase.
106	2.7.7.18	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	nicotinate-nucleotide adenylyltransferase.		Deamido-NAD(+) diphosphorylase. deamido-NAD(+) pyrophosphorylase.
107	6.1.1.7	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	alanine--tRNA ligase.		alanine translase. alanyl-tRNA synthetase.
108	2.5.1.15	Transferases.	Transferring alkyl or aryl groups, other than methyl groups.	Transferring alkyl or aryl groups, other than methyl groups.	dihydropteroate synthase.	The enzyme participates in the biosynthetic pathways for folate (in bacteria, plants and fungi) and methanopterin (in archaea). The enzyme exists in varying types of multifunctional proteins in different organisms. The enzyme from the plant Arabidopsis thaliana also harbors the activity of EC 2.7.6.3, while the enzyme from yeast Saccharomyces cerevisiae is trifunctional with the two above mentioned activities as well as EC 4.1.2.25.	DHPS. dihydropteroate diphosphorylase. dihydropteroate pyrophosphorylase.
109	2.1.2.2	Transferases.	Transferring one-carbon groups.	and related transferases.	phosphoribosylglycinamide formyltransferase 1.	Two enzymes are known to catalyze the third step in de novo purine biosynthesis. This enzyme utilizes 10-formyltetrahydrofolate as the formyl donor, while the other enzyme, EC 6.3.1.21, utilizes formate. In vertebrates this activity is catalyzed by a trifunctional enzyme that also catalyzes the activities of EC 6.3.4.13 and EC 6.3.3.1.	2-amino-N-ribosylacetamide 5'-phosphate transformylase. 5,10-methenyltetrahydrofolate:2-amino-N-ribosylacetamide ribonucleotide transformylase. 5'-phosphoribosylglycinamide transformylase. GAR formyltransferase. GART. GAR TFase. GAR transformylase. glycinamide ribonucleotide transformylase.
110	2.3.1.81	Transferases.	Acyltransferases.	Transferring groups other than amino-acyl groups.	aminoglycoside N(3)-acetyltransferase.	A wide range of antibiotics containing the 2-deoxystreptamine ring can act as acceptor, including gentamicin, kanamycin, tobramycin, neomycin and apramycin. Different from EC 2.3.1.60.	3-aminoglycoside acetyltransferase. aminoglycoside 3-N-acetyltransferase.
111	3.2.1.20	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	alpha-glucosidase.	Group of enzymes whose specificity is directed mainly toward the exohydrolysis of 1,4-alpha-glucosidic linkages, and that hydrolyze oligosaccharides rapidly, relative to polysaccharides, which are hydrolyzed relatively slowly, or not at all. The intestinal enzyme also hydrolyzes polysaccharides, catalyzing the reactions of EC 3.2.1.3, and, more slowly, hydrolyzes 1,6-alpha-D- glucose links.	acid maltase. glucoinvertase. glucosidosucrase. lysosomal alpha-glucosidase. maltase. maltase-glucoamylase.
112	2.1.1.148	Transferases.	Transferring one-carbon groups.	Methyltransferases.	thymidylate synthase (FAD).	Contains FAD. All thymidylate synthases catalyze a reductive methylation involving the transfer of the methylene group of 5,10-methylenetetrahydrofolate to the C5-position of dUMP and a two electron reduction of the methylene group to a methyl group. Unlike the classical thymidylate synthase, ThyA (EC 2.1.1.45), which uses folate as both a 1-carbon donor and a source of reducing equivalents, this enzyme uses a flavin coenzyme as a source of reducing equivalents, which are derived from NADPH.	FDTS. flavin dependent thymidylate synthase.
113	3.4.11.2	Hydrolases.	Acting on peptide bonds (peptidases).	Aminopeptidases.	membrane alanyl aminopeptidase.	Is not activated by heavy metal ions. Belongs to peptidase family M1. Formerly EC 3.4.1.2, EC 3.4.3.5 and EC 3.4.13.6.	amino-oligopeptidase. aminopeptidase M. aminopeptidase N. membrane alanine aminopeptidase. membrane aminopeptidase I. microsomal aminopeptidase. particle-bound aminopeptidase. peptidase E.
114	6.3.2.19	Ligases.	Forming carbon-nitrogen bonds.	Acid--amino-acid ligases (peptide synthases).	Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45.		
115	3.2.1.55	Hydrolases.	Glycosylases.	and S-glycosyl compounds.	non-reducing end alpha-L-arabinofuranosidase.	Acts on alpha-L-arabinofuranosides, alpha-L-arabinans containing (1,3)- and/or (1,5)-linkages, arabinoxylans and arabinogalactans. Some EC 3.2.1.23 and EC 3.2.1.38 enzymes also hydrolyze alpha-L- arabinosides. cf. EC 3.2.1.185. Formerly EC 3.2.1.79.	alpha-L-arabinofuranosidase. arabinofuranosidase. arabinosidase.
116	4.1.3.3	Lyases.	Carbon-carbon lyases.	Oxo-acid-lyases.	N-acetylneuraminate lyase.	This enzyme is involved in the degradation of N-acetylneuraminate. It is specific for the open form of the sugar. It also acts on N-glycoloylneuraminate and on O-acetylated sialic acids, other than 4-O-acetylated derivatives.	N-acetylneuraminate pyruvate-lyase. N-acetylneuraminic acid aldolase.
117	2.1.1.63	Transferases.	Transferring one-carbon groups.	Methyltransferases.	methylated-DNA--[protein]-cysteine S-methyltransferase.	This protein is involved in the repair of methylated DNA. Unlike EC 3.2.2.20 and EC 3.2.2.21, which remove the methylated base leaving an apurinic/apyrimidinic site, this enzyme transfers the methyl group from the methylated DNA to an internal cysteine residue, leaving an intact nucleotide. Since the methyl transfer is irreversible, the enzyme can only catalyze a single turnover.	6-O-methylguanine-DNA methyltransferase. O-6-methylguanine-DNA-alkyltransferase.
118	3.1.3.16	Hydrolases.	Acting on ester bonds.	Phosphoric monoester hydrolases.	protein-serine/threonine phosphatase.	A group of enzymes removing the serine- or threonine-bound phosphate group from a wide range of phosphoproteins, including a number of enzymes which have been phosphorylated under the action of a kinase (cf. EC 3.1.3.48). The spleen enzyme also acts on phenolic phosphates and phosphamides (cf. EC 3.9.1.1).	protein phosphatase-1. protein phosphatase-2A. protein phosphatase-2B. protein phosphatase-2C. serine/threonine specific protein phosphatase.
119	3.4.24.69	Hydrolases.	Acting on peptide bonds (peptidases).	Metalloendopeptidases.	bontoxilysin.	Belongs to peptidase family M27.	botulinum neurotoxin.
120	1.1.1.184	Oxidoreductases.	Acting on the CH-OH group of donors.	With NAD(+) or NADP(+) as acceptor.	carbonyl reductase (NADPH).	Acts on a wide range of carbonyl compounds, including quinones, aromatic aldehydes, ketoaldehydes, daunorubicin, and prostaglandins E and F, reducing them to the corresponding alcohol. Si-specific with respect to NADPH (cf. EC 1.1.1.2).	aldehyde reductase I. NADPH-dependent carbonyl reductase. prostaglandin 9-ketoreductase. xenobiotic ketone reductase.
121	2.3.2.5	Transferases.	Acyltransferases.	Aminoacyltransferases.	glutaminyl-peptide cyclotransferase.	Involved in the formation of thyrotropin-releasing hormone and other biologically active peptides containing N-terminal pyroglutamyl residues. The enzyme from papaya also acts on glutaminyl-tRNA.	glutaminyl cyclase. glutaminyl-tRNA cyclotransferase.
122	4.4.1.5	Lyases.	Carbon-sulfur lyases.	Carbon-sulfur lyases.	lactoylglutathione lyase.	Also acts on 3-phosphoglycerol-glutathione.	(R)-S-lactoylglutathione methylglyoxal-lyase (isomerizing). aldoketomutase. glyoxalase I. ketone-aldehyde mutase. methylglyoxalase.
123	6.1.1.17	Ligases.	Forming carbon-oxygen bonds.	Ligases forming aminoacyl-tRNA and related compounds.	glutamate--tRNA ligase.		glutamic acid translase. glutamyl-tRNA synthetase.
124	1.2.1.11	Oxidoreductases.	Acting on the aldehyde or oxo group of donors.	With NAD(+) or NADP(+) as acceptor.	aspartate-semialdehyde dehydrogenase.		ASA dehydrogenase. aspartic semialdehyde dehydrogenase. L-aspartate-beta-semialdehyde dehydrogenase.
125	4.1.1.15	Lyases.	Carbon-carbon lyases.	Carboxy-lyases.	glutamate decarboxylase.	The brain enzyme also acts on L-cysteate, 3-sulfino-L-alanine and L-aspartate.	L-glutamate 1-carboxy-lyase.
126	2.7.8.7	Transferases.	Transferring phosphorus-containing groups.	Transferases for other substituted phosphate groups.	holo-[acyl-carrier-protein] synthase.	All polyketide synthases, fatty-acid synthases and non-ribosomal peptide synthases require post-translational modification of their constituent acyl-carrier-protein (ACP) domains to become catalytically active. The inactive apo-proteins are converted into their active holo-forms by transfer of the 4'-phosphopantetheinyl moiety of CoA to the sidechain hydroxy group of a conserved serine residue in each ACP domain. The enzyme from human can activate both the ACP domain of the human cytosolic multifunctional fatty acid synthase system (EC 2.3.1.85) and that associated with human mitochondria as well as peptidyl- carrier and acyl-carrier-proteins from prokaryotes. Removal of the 4-phosphopantetheinyl moiety from holo-ACP is carried out by EC 3.1.4.14.	4'-phosphopantetheinyl transferase. ACPS. acyl carrier protein holoprotein (holo-ACP) synthetase. acyl carrier protein synthase. acyl carrier protein synthetase. alphaaminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase. holo-ACP synthase. holo-ACP synthetase. holosynthase. L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase. P-pant transferase. PPTase.
127	2.1.1.228	Transferases.	Transferring one-carbon groups.	Methyltransferases.	tRNA (guanine(37)-N(1))-methyltransferase.	This enzyme is important for the maintenance of the correct reading frame during translation. Unlike TrmD from Escherichia coli, which recognizes the G(36)pG(37) motif preferentially, the human enzyme (encoded by TRMT5) also methylates inosine at position 37. Formerly EC 2.1.1.31.	transfer RNA (m(1)G(37)) methyltransferase. tRNA (m(1)G(37)) methyltransferase. tRNA-(N(1)G37) methyltransferase.
128	2.7.7.65	Transferases.	Transferring phosphorus-containing groups.	Nucleotidyltransferases.	diguanylate cyclase.	Can be activated by BeF3, a phosphoryl mimic, which results in dimerization. Dimerization is required but is not sufficient for diguanylate- cyclase activity. Cyclic di-3',5'-guanylate is an intracellular signaling molecule that controls motility and adhesion in bacterial cells; it was first identified as having a positive allosteric effect on EC 2.4.1.12.	DGC.
